Xa,Ya,Za,Xgr,Ygr,Zgr,Xma,Yma,Zma,Temp
Initialising
-10.25,-124.02,1022.95,-9.94,-2.95,-19.85,22.5,19.35,387.0,30.33
-85.94,-89.84,1055.18,-3.6,2.93,-28.92,22.95,19.35,387.45,30.43
-93.75,-172.85,1092.77,-10.47,-3.49,-31.17,21.6,16.8,386.25,30.43
-117.19,50.29,1029.79,-2.17,-6.47,-47.04,22.35,18.45,386.85,30.47
-51.76,-38.57,947.27,-2.56,1.34,-30.31,22.5,19.8,386.7,30.09
-104.0,-94.24,1001.95,6.11,11.84,-29.13,22.5,19.8,385.8,30.47
-76.66,-106.45,1009.77,1.7,8.0,-19.17,22.95,19.8,386.7,30.67
Destination:,-1.6,1
Initialising
384.15,30.62
18.07,50.29,1013.67,-0.69,0.79,6.11,21.3,22.5,384.3,30.86
17.58,4.88,985.35,-8.79,1010.74,1.63,5.31,9.8,20.85,17.85,385.5,30.67
-67.38,-31.25,1004.39,0.55,-2.55,-1.66,19.2,17.55,384.3,30.86
-38.57,-23.44,1062.01,-7.76,8.6,-2.12,20.85,17.55,384.75,30.71
-95.21,-43.46,993.65,-2.63,5.5,2.13,20.4,16.35,385.05,30.67
-71.78,-18.55,1020.02,2.02,1.08,-1.79,20.7,16.5,384.9,30.86
-57.62,-50.29,1021.48,-0.68,1.89,-1.03,18.75,17.1,386.25,30.62
-64.94,-28.81,1025.88,-2.84,-0.07,2.82,21.45,16.2,383.4,30.67
-64.94,-11.23,1025.88,-4.28,-5.91,0.24,19.8,16.5,385.35,30.86
Start
-74.22,-99.61,1007.32,1.27,7.08,-9.0,20.4,15.6,385.05,30.86
-83.98,-87.4,1009.28,0.82,8.42,-6.3,20.25,16.5,385.35,30.86
-61.52,-84.47,1006.35,0.34,0.21,-8.88,20.4,15.9,385.5,30.67
-85.45,-87.4,1003.42,1.18,0.3,-6.57,21.0,16.2,384.45,30.71
-125.0,-52.25,1003.91,-2.43,2.29,-9.42,19.95,16.35,384.75,31.14
-103.03,-100.1,966.8,-9.65,-0.35,-29.31,20.25,16.2,385.65,30.86
-61.04,-69.34,1027.34,7.18,-8.97,-19.89,19.8,17.25,383.7,30.81
-33.69,-69.82,1009.77,1.11,4.4,-5.56,18.6,19.2,384.9,30.86
-66.89,-61.04,1008.3,-5.57,-3.72,4.25,19.2,17.85,385.5,30.86
-89.36,-13.18,1011.23,-9.98,-2.2,8.47,19.95,18.6,385.05,30.86
